"QuestionText","Type","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Points","Difficulty"
"Read the passage below and answer the question that follows.

PASSAGE 1: Adaeze had always been the quiet one in her family content to sit at the edge of gatherings while her brothers argued loudly about politics and football. But when the flood came that rainy season and swept away the bridge linking their village to the market town it was Adaeze who organised the women to build a temporary raft from bamboo and empty drums. Her father watched in silent astonishment as she directed grown men on how to lash the poles together. By the time the district officials arrived three days later the villagers had already ferried their sick and their farm produce across the swollen river. Adaeze never raised her voice once during the whole ordeal yet everyone obeyed her instructions without question. Her mother later said that some people lead by shouting but others lead simply by knowing exactly what needs to be done.

According to the passage what was Adaeze's usual role during family gatherings?","multiple_choice","She argued loudly about politics","She sat quietly at the edge","She organised football matches","She avoided all gatherings","B","1","medium"
"Read the passage below and answer the question that follows.

PASSAGE 1: Adaeze had always been the quiet one in her family content to sit at the edge of gatherings while her brothers argued loudly about politics and football. But when the flood came that rainy season and swept away the bridge linking their village to the market town it was Adaeze who organised the women to build a temporary raft from bamboo and empty drums. Her father watched in silent astonishment as she directed grown men on how to lash the poles together. By the time the district officials arrived three days later the villagers had already ferried their sick and their farm produce across the swollen river. Adaeze never raised her voice once during the whole ordeal yet everyone obeyed her instructions without question. Her mother later said that some people lead by shouting but others lead simply by knowing exactly what needs to be done.

What natural disaster disrupted the village?","multiple_choice","An earthquake","A fire","A flood that swept away the bridge","A drought","C","1","medium"
"Read the passage below and answer the question that follows.

PASSAGE 1: Adaeze had always been the quiet one in her family content to sit at the edge of gatherings while her brothers argued loudly about politics and football. But when the flood came that rainy season and swept away the bridge linking their village to the market town it was Adaeze who organised the women to build a temporary raft from bamboo and empty drums. Her father watched in silent astonishment as she directed grown men on how to lash the poles together. By the time the district officials arrived three days later the villagers had already ferried their sick and their farm produce across the swollen river. Adaeze never raised her voice once during the whole ordeal yet everyone obeyed her instructions without question. Her mother later said that some people lead by shouting but others lead simply by knowing exactly what needs to be done.

What material did Adaeze use to build the raft?","multiple_choice","Steel and rope","Bamboo and empty drums","Wood planks and nails","Stone and cement","B","1","medium"
"Read the passage below and answer the question that follows.

PASSAGE 1: Adaeze had always been the quiet one in her family content to sit at the edge of gatherings while her brothers argued loudly about politics and football. But when the flood came that rainy season and swept away the bridge linking their village to the market town it was Adaeze who organised the women to build a temporary raft from bamboo and empty drums. Her father watched in silent astonishment as she directed grown men on how to lash the poles together. By the time the district officials arrived three days later the villagers had already ferried their sick and their farm produce across the swollen river. Adaeze never raised her voice once during the whole ordeal yet everyone obeyed her instructions without question. Her mother later said that some people lead by shouting but others lead simply by knowing exactly what needs to be done.

How did Adaeze's father react to her actions?","multiple_choice","He was angry","He was indifferent","He watched in silent astonishment","He ordered her to stop","C","1","medium"
"Read the passage below and answer the question that follows.

PASSAGE 1: Adaeze had always been the quiet one in her family content to sit at the edge of gatherings while her brothers argued loudly about politics and football. But when the flood came that rainy season and swept away the bridge linking their village to the market town it was Adaeze who organised the women to build a temporary raft from bamboo and empty drums. Her father watched in silent astonishment as she directed grown men on how to lash the poles together. By the time the district officials arrived three days later the villagers had already ferried their sick and their farm produce across the swollen river. Adaeze never raised her voice once during the whole ordeal yet everyone obeyed her instructions without question. Her mother later said that some people lead by shouting but others lead simply by knowing exactly what needs to be done.

How long did it take before district officials arrived?","multiple_choice","One day","Three days","A week","A month","B","1","medium"
"Read the passage below and answer the question that follows.

PASSAGE 1: Adaeze had always been the quiet one in her family content to sit at the edge of gatherings while her brothers argued loudly about politics and football. But when the flood came that rainy season and swept away the bridge linking their village to the market town it was Adaeze who organised the women to build a temporary raft from bamboo and empty drums. Her father watched in silent astonishment as she directed grown men on how to lash the poles together. By the time the district officials arrived three days later the villagers had already ferried their sick and their farm produce across the swollen river. Adaeze never raised her voice once during the whole ordeal yet everyone obeyed her instructions without question. Her mother later said that some people lead by shouting but others lead simply by knowing exactly what needs to be done.

What had the villagers already achieved before officials arrived?","multiple_choice","They had rebuilt the bridge","They had ferried the sick and produce across the river","They had called for the army","They had abandoned the village","B","1","medium"
"Read the passage below and answer the question that follows.

PASSAGE 1: Adaeze had always been the quiet one in her family content to sit at the edge of gatherings while her brothers argued loudly about politics and football. But when the flood came that rainy season and swept away the bridge linking their village to the market town it was Adaeze who organised the women to build a temporary raft from bamboo and empty drums. Her father watched in silent astonishment as she directed grown men on how to lash the poles together. By the time the district officials arrived three days later the villagers had already ferried their sick and their farm produce across the swollen river. Adaeze never raised her voice once during the whole ordeal yet everyone obeyed her instructions without question. Her mother later said that some people lead by shouting but others lead simply by knowing exactly what needs to be done.

What can be inferred about Adaeze's leadership style?","multiple_choice","She led by shouting orders","She led quietly through competence and clear direction","She refused to lead","She led only her brothers","B","1","medium"
"Read the passage below and answer the question that follows.

PASSAGE 1: Adaeze had always been the quiet one in her family content to sit at the edge of gatherings while her brothers argued loudly about politics and football. But when the flood came that rainy season and swept away the bridge linking their village to the market town it was Adaeze who organised the women to build a temporary raft from bamboo and empty drums. Her father watched in silent astonishment as she directed grown men on how to lash the poles together. By the time the district officials arrived three days later the villagers had already ferried their sick and their farm produce across the swollen river. Adaeze never raised her voice once during the whole ordeal yet everyone obeyed her instructions without question. Her mother later said that some people lead by shouting but others lead simply by knowing exactly what needs to be done.

Why did grown men obey Adaeze's instructions?","multiple_choice","They were forced by the officials","They had no other choice","Her calm competence earned their trust","She threatened them","C","1","medium"
"Read the passage below and answer the question that follows.

PASSAGE 1: Adaeze had always been the quiet one in her family content to sit at the edge of gatherings while her brothers argued loudly about politics and football. But when the flood came that rainy season and swept away the bridge linking their village to the market town it was Adaeze who organised the women to build a temporary raft from bamboo and empty drums. Her father watched in silent astonishment as she directed grown men on how to lash the poles together. By the time the district officials arrived three days later the villagers had already ferried their sick and their farm produce across the swollen river. Adaeze never raised her voice once during the whole ordeal yet everyone obeyed her instructions without question. Her mother later said that some people lead by shouting but others lead simply by knowing exactly what needs to be done.

What lesson does the mother's final statement teach?","multiple_choice","Loud leaders are always better","Quiet capable people can also lead effectively","Only men should lead in a crisis","Leadership requires shouting","B","1","medium"
"Read the passage below and answer the question that follows.

PASSAGE 1: Adaeze had always been the quiet one in her family content to sit at the edge of gatherings while her brothers argued loudly about politics and football. But when the flood came that rainy season and swept away the bridge linking their village to the market town it was Adaeze who organised the women to build a temporary raft from bamboo and empty drums. Her father watched in silent astonishment as she directed grown men on how to lash the poles together. By the time the district officials arrived three days later the villagers had already ferried their sick and their farm produce across the swollen river. Adaeze never raised her voice once during the whole ordeal yet everyone obeyed her instructions without question. Her mother later said that some people lead by shouting but others lead simply by knowing exactly what needs to be done.

What is the best word to describe Adaeze's character in the passage?","multiple_choice","Timid and unhelpful","Resourceful and composed","Careless and loud","Fearful and dependent","B","1","medium"
